Neighborhood,topic,displayTopic,indicator,value,type
Amity,age,Age,Total population,4794.0,table
Annex,age,Age,Total population,6230.0,table
Beaver Hills,age,Age,Total population,5521.0,table
Dixwell,age,Age,Total population,4898.0,table
Downtown,age,Age,Total population,10798.0,table
Dwight,age,Age,Total population,3915.0,table
East Rock,age,Age,Total population,8392.0,table
East Shore,age,Age,Total population,4917.0,table
Edgewood,age,Age,Total population,4420.0,table
Fair Haven,age,Age,Total population,16907.0,table
Fair Haven Heights,age,Age,Total population,7221.0,table
Hill,age,Age,Total population,16792.0,table
Newhallville,age,Age,Total population,5573.0,table
Prospect Hill,age,Age,Total population,4059.0,table
Quinnipiac Meadows,age,Age,Total population,5835.0,table
West River,age,Age,Total population,3960.0,table
West Rock,age,Age,Total population,4132.0,table
Westville,age,Age,Total population,8830.0,table
Wooster Square/Mill River,age,Age,Total population,3418.0,table
New Haven,age,Age,Total population,130612.0,table
Connecticut,age,Age,Total population,3593222.0,table
Amity,age,Age,Population ages 0-17,1278.0,table
Annex,age,Age,Population ages 0-17,1442.0,table
Beaver Hills,age,Age,Population ages 0-17,1725.0,table
Dixwell,age,Age,Population ages 0-17,1019.0,table
Downtown,age,Age,Population ages 0-17,387.0,table
Dwight,age,Age,Population ages 0-17,794.0,table
East Rock,age,Age,Population ages 0-17,1114.0,table
East Shore,age,Age,Population ages 0-17,1004.0,table
Edgewood,age,Age,Population ages 0-17,1118.0,table
Fair Haven,age,Age,Population ages 0-17,4944.0,table
Fair Haven Heights,age,Age,Population ages 0-17,1360.0,table
Hill,age,Age,Population ages 0-17,5004.0,table
Newhallville,age,Age,Population ages 0-17,1532.0,table
Prospect Hill,age,Age,Population ages 0-17,854.0,table
Quinnipiac Meadows,age,Age,Population ages 0-17,1395.0,table
West River,age,Age,Population ages 0-17,942.0,table
West Rock,age,Age,Population ages 0-17,499.0,table
Westville,age,Age,Population ages 0-17,1892.0,table
Wooster Square/Mill River,age,Age,Population ages 0-17,572.0,table
New Haven,age,Age,Population ages 0-17,28875.0,table
Connecticut,age,Age,Population ages 0-17,784736.0,table
Amity,age,Age,Percent ages 0-17,0.267,map
Annex,age,Age,Percent ages 0-17,0.231,map
Beaver Hills,age,Age,Percent ages 0-17,0.312,map
Dixwell,age,Age,Percent ages 0-17,0.208,map
Downtown,age,Age,Percent ages 0-17,0.036,map
Dwight,age,Age,Percent ages 0-17,0.203,map
East Rock,age,Age,Percent ages 0-17,0.133,map
East Shore,age,Age,Percent ages 0-17,0.204,map
Edgewood,age,Age,Percent ages 0-17,0.253,map
Fair Haven,age,Age,Percent ages 0-17,0.292,map
Fair Haven Heights,age,Age,Percent ages 0-17,0.188,map
Hill,age,Age,Percent ages 0-17,0.298,map
Newhallville,age,Age,Percent ages 0-17,0.275,map
Prospect Hill,age,Age,Percent ages 0-17,0.21,map
Quinnipiac Meadows,age,Age,Percent ages 0-17,0.239,map
West River,age,Age,Percent ages 0-17,0.238,map
West Rock,age,Age,Percent ages 0-17,0.121,map
Westville,age,Age,Percent ages 0-17,0.214,map
Wooster Square/Mill River,age,Age,Percent ages 0-17,0.167,map
New Haven,age,Age,Percent ages 0-17,0.221,table
Connecticut,age,Age,Percent ages 0-17,0.218,table
Amity,age,Age,Population ages 65+,421.0,table
Annex,age,Age,Population ages 65+,583.0,table
Beaver Hills,age,Age,Population ages 65+,575.0,table
Dixwell,age,Age,Population ages 65+,541.0,table
Downtown,age,Age,Population ages 65+,641.0,table
